rumi,predicted,true
mac,ماچ,مچ
september,سڤتيمبر,سيڤتيمبر
disember,دسيمبر,ديسيمبر
safar,سفر,صفر
rabiulawal,ربيعلاول,ربيع الاول
rabiulakhir,ربعالعر,ربيع الاخير
jamadilawal,جمدالالال,جمادي الاول
jamadiakhir,جمادي الير,جمادي الاخير
ramadan,رمادن,رماصن
zulkaedah,ذولقعده,ذوالقعده
zulhijah,ذولحجه,ذوالحجه
aidiladha,عايديلادحا,عيدالاضحى
aidilfitri,عيديلفري,عيدالفطري
asyura,عاشورا,عاشوراء
israk,اسرق,اسراء
maal-hijrah,معلهجرة,معالهجرة
maulidur-rasul,مولدورسول,مولدالرسول
isnin,ايسنين,اثنين
selasa,سلاسا,ثلاث
jumaat,جوماعت,جمعة
sabtu,سبتو,سبت
kalaulah,کلاوله,کالاوله
inilah,اينيله,اينله
berilah,برايله,بيريله
taatlah,تاعةله,طاعةله
rasalah,رسله,راسله
berdoalah,بردعاله,بردعاءله
terimalah,تراماله,تريماله
marilah,مريله,ماريله
sahajalah,سهاجاله,سهاجله
sehinggalah,سهيڠݢاله,سهيڠݢله
memanglah,ممڠله,ميمڠله
sabarlah,صبرلة,صبرله
balaslah,بلسله,بالسله
apalah,اڤاله,اڤله
hinggalah,هيڠݢاله,هيڠݢله
seranglah,سرڠله,سيرڠله
sayugialah,سايوݢياله,سيوݢياله
sabitlah,سابيتله,ابتله
melepaklah,ملڤقله,مليڤقله
keponglah,کڤوڠله,کيڤوڠله
dialah,داله,ديله
berundinglah,براونديڠله,برونديڠله
beristighfarlah,براستغفرله,براستغفارله
kalaulah,کلاوله,کالاوله
saksikanlah,سکسيکنله,سقسيکنله
serahkanlah,سرهکنله,سيرهکنله
bebaskanlah,ببسکنله,بيبسکنله
rahmatnya,رهمتڽ,رهمةڽ
adanya,عدڽ,ادڽ
ayatnya,ايتڽ,اياتڽ
nyawanya,ڽاواڽ,ڽواڽ
menyakitinya,مڽاکيتيڽ,مڽکيتيڽ
membelanya,ممبلاڽ,ممبيلاڽ
ibadatnya,عبادتڽ,عبادةڽ
haramnya,حرمڽ,حرامڽ
menyatakannya,مڽتکنڽ,مڽتاکنڽ
kerabatnya,کرابتڽ,قرابةڽ
karibnya,کاريبڽ,قريبڽ
ditetapkannya,دتتڤکنڽ,دتتقکنڽ
biasanya,بياسڽ,بياساڽ
maksiatnya,معصيتڽ,معصيةڽ
kepunyaannya,کڤوڽاءنڽ,کڤوڽءنڽ
berkatnya,برکتڽ,برکةڽ
wahyunya,وهيوڽ,وحيڽ
nyatanya,ڽاتڽ,ڽتڽ
kerasulannya,کراسولنڽ,کرسولنڽ
kerananya,کراناڽ,کرانڽ
kambingnya,کامبيڠڽ,کمبيڠڽ
akhlaknya,اخلقڽ,اخلاقڽ
wafatnya,وفاتڽ,وفاةڽ
takbirnya,تکبيرڽ,تعبيرڽ
halusnya,هلوسڽ,هالوسڽ
sahnya,سحڽ,صحڽ
rohaninya,روهنيڽ,روهانيڽ
redainya,رضايڽ,ردايڽ
perbendaharaannya,ڤربندهاراءنڽ,ڤربنداهاراءنڽ
merasainya,مراساءيڽ,مراسايڽ
merahnya,مرهڽ,ميرهڽ
menyayanginya,مڽايڠيڽ,مڽيڠيڽ
mentaatinya,منطعتيڽ,منطاعتيڽ
mengharamkannya,مڠهرامکنڽ,مڠحرامکنڽ
mengejeknya,مڠيجيقڽ,مڠجيکڽ
malamnya,ملامڽ,مالمڽ
harinya,هريڽ,هاريڽ
berhalanya,برهلاڽ,برهالاڽ
batinnya,باتينڽ,باطينڽ
arasynya,ارشڽ,عرشڽ
wahyukan,وحيوکن,وحيکن
percayakan,ڤرچايقن,ڤرچايکن
belanjakan,بلنجقن,بلنجاکن
bacakan,باچقن,باچکن
taatkan,تاعتکن,طاعةکن
kembalikan,کمباليقن,کمباليکن
bencikan,بنچيقن,بنچيکن
perhatikan,ڤرهاتيقن,ڤرهاتيکن
kemukakan,کموکقن,کموککن
serahkan,سرهکن,سيرهکن
cuaikan,چوايقن,چوايکن
wafatkan,وفاتکن,وفاةکن
redakan,رضقن,رضاکن
halakan,هلاکن,هالاکن
bebankan,ببنکن,بيبنکن
utamakan,اوتاماکن,اوتامکن
tujukan,توجوقن,توجوکن
tamakan,تمعن,تامکن
sukakan,سوکاکن,سوککن
ratakan,راتاکن,راتکن
nyalakan,ڽلاکن,ڽالاکن
kenakan,کناکن,کيناکن
jayakan,جاياکن,جايکن
dianiayakan,دانياياکن,دانيايکن
azabku,عذبکو,عذابکو
bapaku,باڤاکو,باڤکو
berceri,برچري,برچيري
berihsan,برايهسن,براهسان
berkurun,برکورون,برقرون
bersamaku,برساماکو,برسامکو
diada,دادا,داد
ditanggungjawab,دتڠݢوڠجوابب,دتڠݢوڠجواب
ibadatku,عبادتکو,عبادةکو
kalamku,کلمکو,قلمکو
kerabatku,قرابتکو,قرابةکو
perantaraanku,ڤرنتاراءنکو,ڤرانتاراءنکو
peringatanku,ڤريڠتنکو,ڤرايڠتنکو
rahmatku,رهمتکو,رهمةکو
anak-anakku,انق-انقو,انق٢کو
bahuku,بهوکو,باهوکو
bengku,بڠکو,بيڠکو
berabdas,برعبدس,برابدس
berabonemen,برابونمن,برابونمين
berada,برادا,براد
berada-ada,برادا-ادا,براد٢
beradab,برعدب,برادب
beradas,برادس,برعدس
beragak-agak,براݢق-اݢق,براݢق٢
berai,براي,براءي
beraksi,برقسي,براکسي
beralun-alun,برالون-الون,برالون٢
beram,برم,برعام
berambai-ambai,برامباي-امباي,برامباي٢
berandai-andai,برانداي-انداي,برانداي٢
berangan-angan,براڠن-اڠن,براڠن٢
berangin-angin,براڠين-اڠين,براڠين٢
berangsang,برڠسڠ,براڠساڠ
beranta,برنتا,برانت
beranting-anting,برانتيڠ-انتيڠ,برانتيڠ٢
berapi-api,براڤي-اڤي,براڤي٢
berapung-apung,براڤوڠ-اڤوڠ,براڤوڠ٢
berarak-arakan,برارق-ارقن,برارق-ارڤن
berasian,براسيان,براسين
berasing-asing,براسيڠ-اسيڠ,براسيڠ٢
berawan,براون,برعوان
beraya,براي,برايا
berazimat,برعزيمت,برعزيمة
berbagai-bagai,برباݢاي-باݢاي,برباݢاي٢
berbaik-baik,برباءيق-باءيق,برباءيق٢
berbalam-balam,بربالم-بالم,بربالم٢
berbanyak-banyak,برباڽق-باڽق,برباڽق٢
berbareng,برباريڠ,بربارڠ
berbateri,بربتري,برباتري
berbatin,برباتين,برباطين
berbatu-batan,برباتو-بتن,برباتو-باتن
berbayang-bayang,بربايڠ-بايڠ,بربايڠ٢
berbebar,بربيبر,برببر
berbebaran,بربيبرن,برببارن
berbedak,بربدق,بربيدق
berbedan-bedan,بربدن-بدن,بربدن٢
berbelak,بربلق,بربيلق
berbelang,بربلڠ,بربيلڠ
berbelau-belau,بربلاو-بلاو,بربلاو٢
berbenar-benar,بربنر-بنر,بربنر٢
berbentar,بربنتر,بربينتر
berbesaran,بربسرن,بربسارن
berbesar-besaran,بربسر٢,بربسر-بسرن
berbikini,بربيقيني,بربيکيني
berbiku-biku,بربيکو-بيکو,بربيکو٢
berbinti,بربينتي,بربنت
berbisik-bisik,بربيسيق-بيسيق,بربيسيق٢
berbudaya,بربوداي,بربودايا
berbulan-bulan,بربولن-بولن,بربولن٢
berbulu-bulu,بربولو-بولو,بربولو٢
berbunga-bunga,بربوڠا-بوڠا,بربوڠا٢
berburu-buru,بربورو-بورو,بربورو٢
bercaran,برچرن,برچارن
bercela,برچلا,برچيلا
bercelak,برچلق,برچيلق
bercenggang,برچيڠݢڠ,برچڠݢڠ
bercenggong,برچيڠݢوڠ,برچيڠ-ݢ-وڠ
bercepat-cepat,برچڤت-چڤت,برچڤت٢
bercita-cita,برچيتا-چيتا,برچيتا٢
bercuki,برچوقي,برچوکي
berdaham,بردهم,برداهم
berdalam-dalam,بردالم-دالم,بردالم٢
berdebak,برديبق,بردبق
berdebat,بردبت,برديبت
berdekat-dekat,بردکت-دکت,بردکت٢
berdepan-depan,بردڤن-دڤن,بردڤن٢
berdiam-diam,برديام-ديام,برديام٢
berdiet,بردييت,برديئت
berdisiplin,بردسيڤلين,برديسيڤلين
berdua-dua,بردوا-دوا,بردوا٢
berduit-duit,بردوءيت-دوءيت,بردوءيت٢
berecek,بريچيق,برايچيق
bereka,برايک,برايکا
berembuk,برمبوق,برامبوق
beremosi,بريموسي,برايموسي
berempayar,برامڤاير,برايمڤاير
berenak-enak,براينق-اينق,براينق٢
berenda,برايندا,براندا
berendeng,برينديڠ,براينديڠ
berengsel,بريڠسيل,برايڠسيل
berenjin,برانجين,براينجين
bererti,بررتي,برارتي
beres,بيريس,برايس
berevolusi,بريۏولوسي,برايۏولوسي
berfirasat,برفراست,برفراسة
berfitrah,برفتره,برفطره
berfoya-foya,برفويا-فويا,برفويا٢
berfrekuensi,برفريکوءنسي,برفريکوئنسي
bergandung,برݢاندوڠ,برݢندوڠ
berganggang,برݢڠݢڠ,برݢاڠݢڠ
berganjur,برݢنجور,برݢانجور
bergantang-gantang,برݢنتاڠ-ݢنتڠ,برݢنتاڠ٢
bergarah-garah,برݢاره-ݢاره,برݢاره٢
bergelang-gelang,برݢلڠ-ݢلڠ,برݢلڠ٢
bergendang,برݢيندڠ,برݢندڠ
bergepuk-gepuk,برݢڤوق-ݢڤوق,برݢڤوق٢
bergerigi,برݢريݢي,برݢري-ݢ--ي
bergesa-gesa,برݢسا-ݢسا,برݢسا٢
bergila-gila,برݢيلا-ݢيلا,برݢيلا٢
berguru,برݢورو,برݢورور
berhadas,برهدث,برحدث
berhadis,برهاديس,برحديث
berhalus,برهلوس,برهالوس
berhalusinasi,برهلوسيناسي,برهالوسيناسي
berhambus,برهمبوس,برهامبوس
berharap-harap,برهارڤ-هارڤ,برهارڤ٢
berhari-hari,برهاري-هاري,برهاري٢
berhati-hati,برهاتي-هاتي,برهاتي٢
berhawa,برهاوا,برحواء
berhelah,برهيله,برحيله
berhierarki,برهيرري,برهيررکي
berhujan-hujan,برهوجن-هوجن,برهوجن٢
beria,بريا,برايا
beriba,بريبا,برايبا
beribadah,برعباده,برعبادة
beribadat,برعبادت,برعبادة
beriktikaf,براعتقاف,براعتکاف
berikut-ikut,برايکوت-ايکوت,برايکوت٢
berilah,برايله,براله
beringat-ingat,برايڠت-ايڠت,برايڠت٢
berirama,براراما,برايراما
beristighfar,براستغفر,براستغفار
beristiqamah,براستقامه,براستقامة
beristirahat,براستراهت,براستراهة
berjala-jala,برجالا-جالا,برجالا٢
berjalur-jalur,برجالور-جالور,برجالور٢
berjangka,برجاڠک,برجڠک
berjari-jari,برجاري-جاري,برجاري٢
berjebah,برجبه,برجيبه
berjuak-juak,برجواق-جواق,برجواق٢
berjujukan,برجوجوکن,برجوجوقن
berjumaat,برجوماعت,برجمعة
berjumbai-jumbai,برجومباي-جومباي,برجومباي٢
berjurai-jurai,برجوراي-جوراي,برجوراي٢
berkadi,برقادي,برقاضي
berkait-kait,برکاءيت-کاءيت,برکاءيت٢
berkalau-kalau,برکالاو-کالاو,برکالاو٢
berkali-kali,برکالي-کالي,برکالي٢
berkampai,برکامڤاي,برکمڤاي
berkandar,برکاندر,برکندر
berkanjang,برکانجڠ,برکنجڠ
berkarang-karang,برکارڠ-کارڠ,برکارڠ٢
berkaraoke,برکاراوکي,برکاراءوکي
berkawad,برکود,برکاود
berkecah,برکچه,برکيچه
berkedera,برکدرا,برکديرا
berkedok,برکيدوق,برکدوق
berkedut-kedut,برکدوت-کدوت,برکدوت٢
berkeinginan,برکيڠينن,برکايڠينن
berkek,برکيق,برکيک
berkelah,برکله,برکيله
berkelahi,برکلهي,برکلاهي
berkelemban,برکلمبن,برکليمبن
berkelip-kelip,برکليڤ-کليڤ,برکليڤ٢
berkemas-kemas,برکمس-کمس,برکمس٢
berkemendang,برکميندڠ,برکمندڠ
berkena,برکنا,برکينا
berkentung-kentung,برکنتوڠ-کنتوڠ,برکنتوڠ٢
berkepak,برکڤق,برکيڤق
berkepang,برکڤڠ,برکيڤڠ
berkerang,برکرڠ,برکيرڠ
berkeredaan,برکريداءن,برکريضاءن
berkerikil,برکريقيل,برکريکيل
berketika,برکتيکا,برکتيک
berketi-keti,برکتي-کتي,برکتي٢
berkhairat,برخيرت,برخيرات
berkial-kial,برکيال-کيال,برکيال٢
berkira-kira,برکيرا-کيرا,برکيرا٢
berkisi-kisi,برکيسي-کيسي,برکيسي٢
berklik,برکليق,برکليک
berkuak-kuak,برکواق-کواق,برکواق٢
berkucing-kucing,برکوچيڠ-کوچيڠ,برکوچيڠ٢
berkunang-kunang,برکونڠ-کونڠ,برکونڠ٢
berkusu-kusu,برکوسو-کوسو,برکوسو٢
berlama-lama,برلاما-لاما,برلاما٢
berlambai-lambai,برلمباي-لمباي,برلمباي٢
berlambat-lambat,برلمبت-لمبت,برلمبت٢
berlangit-langit,برلاڠيت-لاڠيت,برلاڠيت٢
berlari-lari,برلاري-لاري,برلاري٢
berlawak-lawak,برلاوق-لاوق,برلاوق٢
berlebaran,برليبرن,برلبارن
berlekas-lekas,برلکس-لکس,برلکس٢
berlembang,برلمبڠ,برليمبڠ
berlengas,برلڠس,برليڠس
berlenggang,برليڠݢڠ,برل-يڠ-ݢ-ڠ
berlenggok-lenggok,برليڠݢوق-ليڠݢوق,برليڠݢوق٢
berlentera,برلنترا,برلنتيرا
berlopak-lopak,برلوڤق-لوڤق,برلوڤق٢
berlumar,برلومر,برلومار
berlumba-lumba,برلومبا-لومبا,برلومبا٢
bermacam-macam,برماچم-ماچم,برماچم٢
bermain-main,برماءين-ماءين,برماءين٢
bermalam,برملام,برمالم
bermanik-manik,برمانيق-مانيق,برمانيق٢
bermekap,برمکڤ,برميکڤ
bermeter,برميتير,برميتر
bermetil,برمتيل,برميتيل
berminta-minta,برمينتا-مينتا,برمينتا٢
bermudarat,برمودارت,برمضرت
bermukah,برمقاح,برموکه
bermuka-muka,برموک-موک,برموک٢
bermula-mula,برمولا-مولا,برمولا٢
bermunajat,برمناجت,برمناجات
bermusyawarah,برمشاوره,برمشاورة
bernafsi-nafsi,برنفسي-نفسي,برنفسي٢
berogak-ogak,براوݢق-اوݢق,براوݢق٢
beroi,براوي,براووي
berok,بيروق,براءوق
berolak-olak,براولق-اولق,براولق٢
beromong-omong,براوموڠ-اوموڠ,براوموڠ٢
berondoh-ondoh,براوندوه-اوندوه,براوندوه٢
berong,بيروڠ,برءوڠ
berorang-orang,براورڠ-اورڠ,براورڠ٢
berpanggung,برڤڠݢوڠ,برڤ-ڠ-ݢوڠ
berpanji-panji,برڤنجي-ڤنجي,برڤنجي٢
berpara-para,برڤارا-ڤارا,برڤارا٢
berpasang-pasang,برڤاسڠ-ڤاسڠ,برڤاسڠ٢
berpauh-pauh,برڤاءوه-ڤاءوه,برڤاءوه٢
berpaya,برڤاي,برڤايا
berpayah-payah,برڤايه-ڤايه,برڤايه٢
berpaya-paya,برڤايا-ڤاي,برڤايا٢
berpecah-pecah,برڤچه-ڤچه,برڤچه٢
berpelukan,برڤلوکن,برڤلوقن
berpengkhususan,برڤخخصوصن,برڤڠخصوصن
berperang,برڤرڠ,برڤيرڠ
berpijar-pijar,برڤيجر-ڤيجر,برڤيجر٢
berpiuh-piuh,برڤيوه-ڤيوه,برڤيوه٢
berpulasan,برڤولسن,برڤولاسن
berpura-pura,برڤورا-ڤورا,برڤورا٢
berpusar-pusar,برڤوسر-ڤوسر,برڤوسر٢
bersabit,برابيت,برابت
bersai,برساي,برسعي
bersaluir,برسلوءير,برسالوءير
bersamba,برسامبا,برسمبا
bersambut,برسامبوت,برسمبوت
bersangkak,برسڠکق,برساڠکق
bersangkal,برسڠکل,برساڠکل
bersantap,برسنتڤ,برسانتڤ
bersebar,برسيبار,برسبر
bersebati,برسبتي,برسباتي
bersegera-segera,برسݢرا-سݢرا,برسݢرا٢
bersela,برسلا,برسيلا
berselak,برسلق,برسيلق
berselari,برسلري,برسلاري
bersembah,برسيمبه,برسمبه
bersembunyi-sembunyian,برسمبوڽي٢,برسمبوڽي-سمبوڽين
bersendi,برسيندي,برسندي
bersenyap-senyap,برسڽڤ-سڽڤ,برسڽڤ٢
berserah,برسره,برسيره
berseranggung,برسرڠݢوڠ,برسرڠ-ݢ-وڠ
berserenjang,برسرينجڠ,برسرنجڠ
berseri,برسري,برسيري
berserif,برسريف,برسيريف
bersesak,برسيسق,برسسق
bersia-sia,برسيا-سيا,برسيا٢
bersolat,برسولت,برصلاة
bersubahat,برسوبهت,برسوباهت
bersudah-sudah,برسوده-سوده,برسوده٢
bersuluk,برسولوق,برسلوق
bersumbar,برسومبر,برسومبار
bersungguh-sungguh,برسوڠݢوه-سوڠݢوه,برسوڠݢوه٢
bersungut-sungut,برسوڠوت-سوڠوت,برسوڠوت٢
bersutan,برسوتن,برسوتان
bersyahadat,برشهادت,برشهادة
bersyarah,برشره,برشرح
bertahalul,برتهلل,برتحلل
bertahmid,برتهميد,برتحميد
bertahu-tahu,برتاهو-تاهو,برتاهو٢
bertakbir,برتکبير,برتعبير
bertalam,برتلام,برتالم
bertali-tali,برتالي-تالي,برتالي٢
bertambah-tambah,برتمبه-تمبه,برتمبه٢
bertampung,برتامڤوڠ,برتمڤوڠ
bertandatangan,برتنداتڠن,برتنداتاڠن
bertanyakan,برتاڽاکن,برتاڽکن
bertarak-tarak,برتارق-تارق,برتارق٢
bertarbus,برتربوس,برطربوس
bertatapan,برتاتڤن,برتتاڤن
berteban,برتبن,برتيبن
bertebang,برتيبڠ,برتبڠ
bertebu-tebu,برتبو-تبو,برتبو٢
bertelekan,برتيليکن,برتلکن
bertele-tele,برتيلي-تيلي,برتيلي٢
bertemperau,برتمڤراو,برتمڤيراو
bertempuh,برتمڤوه,برتيمڤوه
bertenang,برتنڠ,برتينڠ
bertendensi,برتيندينسي,برتيندنسي
bertengkolok,برتيڠکولوق,برتڠکولوق
berterang-terang,برترڠ-ترڠ,برترڠ٢
berteterapan,برتترڤن,برتتراڤن
bertinggung,برتيڠݢوڠ,برتيڠ-ݢوڠ
bertingkat-tingkat,برتيڠکت-تيڠکت,برتيڠکت٢
bertitikan,برتيتيکن,برتيتيقن
bertiup-tiup,برتيوڤ-تيوڤ,برتيوڤ٢
bertua-tua,برتوا-توا,برتوا٢
bertumbukan,برتومبوکن,برتومبوقن
bertura-tura,برتورا-تورا,برتورا٢
berujud,براوجود,بروجود
berundung-undung,براوندوڠ-اوندوڠ,براوندوڠ٢
berura-ura,براورا-اورا,براورا٢
beruzlah,برازله,برعزلة
berwasangka,برواسڠک,بروسڠک
berwasiat,برواصيت,بروصيت
berwirid,برويريد,برورد
beryang-yang,بريڠ-يڠ,بريڠ٢
berzuhud,برزوهد,برزهد
cangku,چاڠکو,چڠکو
cenaku,چناکو,چيناکو
diadukan,دادوکن,دادوقن
diagak-agak,داݢق-اݢق,داݢق٢
diagnostik,دياݢنوستيک,داݢنوستيک
diah,دية,داه
diajukan,داجوکن,داجوقن
diaku,داکو,ديکو
diam,ديام,دعام
diana,دان,دانا
diangkat-angkat,داڠکت-اڠکت,داڠکت٢
diari,دياري,داري
diazab,دعذب,دعذاب
dibab,دبب,دباب
dibacakan,دباچاکن,دباچکن
dibedak,دبدق,دبيدق
diberi,دبري,دبيري
diberikan,دبريکن,دبرايکن
diberikan,دبريکن,دبرايکن
diberkati,دبرکتي,دبرکاتي
dibinasakan,دبيناساکن,دبيناسکن
dibiru-biru,دبيرو٢کو,دبيرو٢
dicarikan,دچاريکن,دچاريقن
dicebak,دچيبق,دچبق
dicita-cita,دچيتا-چيتا,دچيتا٢
dies,ديس,دايس
diestrus,ديئيستروس,دايستروس
dihakis,دحاکيس,دهاکيس
diheban,دهيبن,دهيبان
dikambus,دکامبوس,دکمبوس
dikatai,دکاتاءي,دکاتاي
dikemukakan,دکموکاکن,دکموککن
dikenakan,دکناکن,دکيناکن
diketuk-ketuk,دکتوق-کتوق,دکتوق٢
dikotai,دکوتاءي,دکوتاي
dilantas,دلانتس,دلنتس
dilarikan,دلاريکن,دلاريقن
dilempari,دليمڤري,دلمڤاري
dilenggang,دليڠݢڠ,دل-يڠ-ݢ-ڠ
dini,ديني,دني
diniagakan,دنياݢاکن,دنياݢکن
dinyatakan,دڽاتاکن,دڽاتکن
dipandam,دڤندم,دڤاندم
dipanggang,دڤڠݢڠ,دڤ-ڠݢ-ڠ
dipasukan,دڤاسوکن,دڤاسوقن
dipenjarakan,دڤنجاراکن,دڤنجارقن
dipercayakan,دڤرچاياکن,دڤرچايکن
dipijak-pijak,دڤيجق-ڤيجق,دڤيجق٢
dirambah,درمبه,درامبه
dirangka,درڠک,دراڠک
dirasai,دراساءي,دراساي
diratakan,دراتاکن,دراتکن
direjeng,دريجيڠ,درجڠ
direlai,درلاي,دريلاي
direnggang,درڠݢڠ,درڠ-ݢ-ڠ
direntang,درنتڠ,درينتڠ
direparasi,درڤاراسي,دريڤاراسي
dirian,ديريان,دريان
diruah,درواه,درواح
disakarida,دساکريدا,دساکاريدا
disalib,دسالب,دصليب
disegani,دسݢني,دسݢاني
disekati,دسکتي,دسکاتي
disember,دسيمبر,دسمبير
disendi,دسيندي,دسندي
disengker,دسيڠکير,دسڠکر
disenteri,دسينتري,دسنتري
diserahi,دسرهي,دسراهي
diserap,دسرڤ,دسيرڤ
disesak,دسيسق,دسسق
disetel,دسيتيل,دستيل
disifatkan,دسيفتکن,دصيفتکن
disinggung,دسيڠݢوڠ,دسيڠݢ-وڠ
disteril,دستريل,دستيريل
disusukan,دسوسوکن,دسوسوقن
ditampa,دتمڤا,دتامڤا
ditampik,دتمڤيق,دتامڤيق
ditandai,دتنداءي,دتنداي
ditanyakan,دتاڽاکن,دتاڽکن
ditarikan,دتاريکن,دتاريقن
ditawar-tawar,دتاور-تاور,دتاور٢
ditempuh,دتمڤوه,دتيمڤوه
ditetapi,دتتڤي,دتتاڤي
ditombong,دتومبوڠ,دتوم-بوڠ
diubrak-abrik,داوبرق-ابير,داوبرق-ابريق
diutamakan,داوتاماکن,داوتامکن
diwangsa,ديواڠسا,دوڠسا
guruku,ݢوروکو,ݢورورکو
kataku,کاتاکو,کاتکو
maksudku,مقصودو,مقصودکو
maluku,ملوکو,مالوکو
mataku,ماتاکو,ماتکو
memangku,ممڠکو,ميمڠکو
sangkaku,سڠکاکو,سڠککو
selaku,سلاکو,سيلاکو
sesiku,سسيکو,سيسيکو
teknikku,تيکنيکو,تيکنيککو
teleku,تلکو,تيليکو
tengku,تڠکو,تيڠکو
akhbarnya,اخبرڽ,اخبارڽ
almarinya,المريڽ,الماريڽ
al-qurannya,القرانڽ,القرءانڽ
amnya,امڽ,عامڽ
anak-anaknya,انق-انقڽ,انق٢ڽ
aslinya,اسليڽ,اصليڽ
atmosferanya,اترموسفيراڽ,اتموسفيراڽ
bakinya,باکيڽ,باقيڽ
balaknya,بلاقڽ,بالقڽ
balasnya,بلاسڽ,بالسڽ
bebannya,ببنڽ,بيبنڽ
belangnya,بلڠڽ,بيلڠڽ
beliannya,بلينڽ,بليانڽ
benderanya,بندراڽ,بنديراڽ
berangnya,برڠڽ,بيرڠڽ
beresnya,بيريسڽ,برايسڽ
berhenti-hentinya,برهنتي٢ڽ,برهنتي-هنتيڽ
berinya,بريڽ,بيريڽ
budayanya,بودايڽ,بوداياڽ
celanya,چلاڽ,چيلاڽ
diadukannya,دادوکنڽ,دادوقنڽ
diakalinya,دعکليڽ,دعقليڽ
dicarikannya,دچاريکنڽ,دچاريقنڽ
didiaminya,ددعاميڽ,ددياميڽ
dikebasnya,دکيبسڽ,دکبسڽ
dilemparinya,دلمڤريڽ,دلمڤاريڽ
dipenjarakannya,دڤنجاراکنڽ,دڤنجارقنڽ
diplomatiknya,دڤلوماتيکڽ,ديڤلوماتيکڽ
diplomatnya,دڤلومتڽ,ديڤلومتڽ
dirasainya,دراساءيڽ,دراسايڽ
disendaknya,دسيندقڽ,دسندقڽ
disertasinya,دسرتاسيڽ,ديسرتاسيڽ
disesahnya,دسيسهڽ,دسسهڽ
ditempelengnya,دتمڤيلڽ,دتمڤيليڠڽ
ditempuhnya,دتمڤوهڽ,دتيمڤوهڽ
empunyanya,امڤوڽاڽ,امڤوڽڽ
firasatnya,فراستڽ,فراسةڽ
frekuensinya,فريکوءنسيڽ,فريکوئنسيڽ
generasinya,ݢنراسيڽ,ݢينراسيڽ
gentiannya,ݢنتينڽ,ݢنتيانڽ
geriginya,ݢريݢيڽ,ݢري-ݢ--يڽ
gurunya,ݢوروڽ,ݢورورڽ
hadamnya,حضمڽ,هضمڽ
hal-ehwalnya,حال-حوالڽ,حال-احوالڽ
hampasnya,همڤسڽ,هامڤسڽ
idamannya,ايدمنڽ,ايدامنڽ
ikrabnya,اقربڽ,اعربڽ
jadikannya,جاديقنڽ,جاديکنڽ
kakitangannya,کاکيتڠنڽ,کاکيتاڠنڽ
kalbunya,کلبوڽ,قلبوڽ
kamarnya,کمرڽ,قمرڽ
kamusnya,کاموسڽ,قاموسڽ
kantuknya,کانتوقڽ,کنتوقڽ
kayanya,کايڽ,کاياڽ
keasliannya,کاسلينڽ,کاصلينڽ
kebalikannya,کباليقنڽ,کباليقکنڽ
kepaknya,کڤقڽ,کيڤقڽ
ketenangannya,کتنڠنڽ,کتينڠنڽ
ketiga-tiganya,کتيݢ٢ڽ,کتيݢا-تيݢڽ
khatnya,ختڽ,خطڽ
kudratnya,قدرتڽ,قدرةڽ
kutubnya,کوتوبڽ,قطبڽ
lauk-pauknya,لاءوق٢,لاءوق-ڤاءوقڽ
lenggangnya,ليڠݢڠڽ,ل-يڠ-ݢ-ڠڽ
majalnya,مجلڽ,ماجلڽ
makanya,ماکڽ,مکڽ
melodinya,ملوديڽ,ميلوديڽ
memnya,ممڽ,ميمڽ
memperisterinya,ممڤريستريڽ,ممڤرايستريڽ
memperkaitkannya,ممڤرکاءيکنڽ,ممڤرکاءيتکنڽ
memudaratkannya,ممودرتکنڽ,مموضرتکنڽ
mengelakkannya,مڠلقکنڽ,مڠيلقکنڽ
menghayatinya,مڠهياتيڽ,مڠحياتيڽ
mentalnya,منتلڽ,مينتلڽ
menyamainya,مڽاماءيڽ,مڽماءيڽ
menyepaknya,مڽڤقڽ,مڽيڤقڽ
mesingannya,مسيڠنڽ,ميسينݢنڽ
nisbahnya,نصبهڽ,نيسبهڽ
nyalanya,ڽالاڽ,ڽلاڽ
nyanya,ڽاڽ,ڽڽ
nyanyiannya,ڽاڽينڽ,ڽڽينڽ
nyaringnya,ڽاريڠڽ,ڽريڠڽ
ozonnya,اوذونڽ,اوزونڽ
pedalnya,ڤدلڽ,ڤيدلڽ
pegangannya,ڤݢاڠنڽ,ڤݢڠنڽ
pelangnya,ڤلڠڽ,ڤيلڠڽ
penasihatnya,ڤنصيحتڽ,ڤنصيحةڽ
pengsannya,ڤڠسنڽ,ڤيڠسنڽ
penyairnya,ڤڽاءيرڽ,ڤڽعيرڽ
penyakitnya,ڤڽاکيتڽ,ڤڽکيتڽ
penyapunya,ڤڽاڤوڽ,ڤڽڤوڽ
penyerangnya,ڤڽيرڠڽ,ڤڽرڠڽ
perangnya,ڤرڠڽ,ڤيرڠڽ
peribadinya,ڤرعباديڽ,ڤريباديڽ
perikarpanya,ڤريکرڤاڽ,ڤيريکرڤاڽ
pernikahannya,ڤرنيکهنڽ,ڤرنکاهنڽ
pertanyaannya,ڤرتاڽاءنڽ,ڤرتاڽءنڽ
pesaknya,ڤسقڽ,ڤيسقڽ
puasanya,ڤواسڽ,ڤواساڽ
qurannya,قرانڽ,قرءانڽ
rangkanya,رڠکڽ,راڠکڽ
redanya,ريضاڽ,رضاڽ
rentaknya,رنتقڽ,رينتقڽ
ribanya,ريباڽ,رباءڽ
sahihnya,سحيحڽ,صحيحڽ
